date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:51	4717/4717	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Sep%202025%2000:54:51%20GMT	https://piratadigital.com.br/robots.txt		(from )
21:54:51	28968/28968	---MCZ	200	added ('OK')	text/html	date:Sun,%2031%20Aug%202025%2001:23:42%20GMT	https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g	C:/Meus%20Sites/pirata%20do%20digital/piratadigital.com.br/indexaedd.html	(from )
21:54:52	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css?rand=63065fe5	C:/Meus%20Sites/pirata%20do%20digital/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.mindf7b.css	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
21:54:52	37840/37840	---MCZ	200	added ('OK')	text/css	etag:%2268b3a41e-93d0%22	https://piratadigital.com.br/style.css?rand=6a9fc51459857eb5	C:/Meus%20Sites/pirata%20do%20digital/piratadigital.com.br/style6352.css	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
21:54:53	180164/180164	---M--	200	added ('OK')	image/webp	etag:%22433088151a2f587c6964ecb699695705%22	https://firebasestorage.googleapis.com/v0/b/voltk-homologacao.appspot.com/o/compressed_1756129544859_pirata.png.webp?alt=media&token=vtk_T5hCqjMEtcVA2XAkBCbJzlYVAEO2	C:/Meus%20Sites/pirata%20do%20digital/firebasestorage.googleapis.com/v0/b/voltk-homologacao.appspot.com/o/compressed_1756129544859_pirata.png36d1.webp	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
21:54:53	319910/319910	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2002%20Sep%202025%2000:54:53%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/pirata%20do%20digital/connect.facebook.net/en_US/fbevents.js	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
21:54:53	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/Meus%20Sites/pirata%20do%20digital/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
21:54:53	8514/8514	---MCZ	200	added ('OK')	text/css	date:Mon,%2014%20Jul%202025%2011:56:35%20GMT	https://unpkg.com/lightslider@1.1.6/dist/css/lightslider.css	C:/Meus%20Sites/pirata%20do%20digital/unpkg.com/lightslider@1.1.6/dist/css/lightslider.css	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
21:54:54	3074/3074	---M--	200	added ('OK')	image/webp	etag:%22d8ff932abc7f080b1f38e19d1178ed58%22	https://firebasestorage.googleapis.com/v0/b/voltk-homologacao.appspot.com/o/compressed_1755778506320_prts-digitais-logo-sem-fundo.png.webp?alt=media&token=vtk_T5hCqjMEtcVA2XAkBCbJzlYVAEO2	C:/Meus%20Sites/pirata%20do%20digital/firebasestorage.googleapis.com/v0/b/voltk-homologacao.appspot.com/o/compressed_1755778506320_prts-digitais-logo-sem-fundo.png36d1.webp	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
21:54:55	49426/49426	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202025%2000:54:55%20GMT	https://lastlink.com/p/CA3A67855/checkout-payment/	C:/Meus%20Sites/pirata%20do%20digital/lastlink.com/p/CA3A67855/checkout-payment/index.html	(from https://piratadigital.com.br/?fbclid=PAdGRjcAMbQc5leHRuA2FlbQIxMQABp-ajSz7AodUqXAwH3nSN1kLxraDoM3E90MYvw_Ruh7GxxBHcEX-xdiawdMQo_aem_mgvb_oWbBROUTRiaH_ii-g)
